person_id,name,eligible,missed
412544,Rep. John Delaney [D-MD6],519,9
412403,Rep. Jeff Denham [R-CA10],519,5
400648,Rep. Charles Dent [R-PA15],519,0
412477,Rep. Scott DesJarlais [R-TN4],519,17
412385,Rep. Theodore Deutch [D-FL21],519,47
400108,Rep. Mario Diaz-Balart [R-FL25],519,7
412637,Rep. Debbie Dingell [D-MI12],519,12
400111,Rep. Lloyd Doggett [D-TX35],519,9
412420,Rep. Bob Dold [R-IL10],519,14
412205,Sen. Joe Donnelly [D-IN],271,3
412672,Rep. Daniel Donovan [R-NY11],303,21
400114,Rep. Michael “Mike” Doyle [D-PA14],519,32
412533,Rep. Tammy Duckworth [D-IL8],519,81
412488,Rep. Sean Duffy [R-WI7],519,11
412472,Rep. Jeff Duncan [R-SC3],519,22
400116,Rep. John “Jimmy” Duncan [R-TN2],519,13
300038,Sen. Richard Durbin [D-IL],271,2
412263,Rep. Donna Edwards [D-MD4],519,15
412215,Rep. Keith Ellison [D-MN5],519,16
412457,Rep. Renee Ellmers [R-NC2],519,5
412639,Rep. Tom Emmer [R-MN6],519,1
400122,Rep. Eliot Engel [D-NY16],514,44
300041,Sen. Michael Enzi [R-WY],271,12
412667,Sen. Joni Ernst [R-IA],271,0
400124,Rep. Anna Eshoo [D-CA18],519,18
412524,Rep. Elizabeth Esty [D-CT5],519,5
412482,Rep. Blake Farenthold [R-TX27],519,8
400129,Rep. Sam Farr [D-CA20],519,4
400130,Rep. Chaka Fattah [D-PA2],519,15
300043,Sen. Dianne Feinstein [D-CA],271,10
412479,Rep. Stephen Fincher [R-TN8],519,72
412556,Sen. Deb Fischer [R-NE],271,0
400646,Rep. Michael Fitzpatrick [R-PA8],519,17
400134,Sen. Jeff Flake [R-AZ],271,9
412476,Rep. Charles “Chuck” Fleischmann [R-TN3],519,9
412275,Rep. John Fleming [R-LA4],519,4
412480,Rep. Bill Flores [R-TX17],519,7
400137,Rep. Randy Forbes [R-VA4],519,13
400640,Rep. Jeff Fortenberry [R-NE1],519,11
412257,Rep. Bill Foster [D-IL11],519,3
400643,Rep. Virginia Foxx [R-NC5],519,0
412529,Rep. Lois Frankel [D-FL22],519,11
412378,Sen. Alan “Al” Franken [D-MN],271,7
400141,Rep. Trent Franks [R-AZ8],519,10
400142,Rep. Rodney Frelinghuysen [R-NJ11],519,2
412327,Rep. Marcia Fudge [D-OH11],519,23
412532,Rep. Tulsi Gabbard [D-HI2],519,3
412612,Rep. Ruben Gallego [D-AZ7],519,10
412382,Rep. John Garamendi [D-CA3],519,32
412406,Sen. Cory Gardner [R-CO],271,2
400145,Rep. Scott Garrett [R-NJ5],519,9
412463,Rep. Bob Gibbs [R-OH7],519,6
412453,Rep. Christopher Gibson [R-NY19],519,7
412223,Sen. Kirsten Gillibrand [D-NY],271,1
400651,Rep. Louie Gohmert [R-TX1],519,9
400154,Rep. Bob Goodlatte [R-VA6],519,2
412397,Rep. Paul Gosar [R-AZ4],519,35
412473,Rep. Trey Gowdy [R-SC4],518,35
412620,Rep. Gwen Graham [D-FL2],519,1
300047,Sen. Lindsey Graham [R-SC],271,64
400157,Rep. Kay Granger [R-TX12],519,18
300048,Sen. Charles “Chuck” Grassley [R-IA],271,0
412631,Rep. Garret Graves [R-LA6],519,2
400158,Rep. Sam Graves [R-MO6],519,55
412388,Rep. Tom Graves [R-GA14],519,15
412276,Rep. Alan Grayson [D-FL9],519,19
400653,Rep. Al Green [D-TX9],519,26
400160,Rep. Gene Green [D-TX29],519,12
412485,Rep. Morgan Griffith [R-VA9],519,8
400162,Rep. Raúl Grijalva [D-AZ3],519,40
412661,Rep. Glenn Grothman [R-WI6],519,4
412447,Rep. Frank Guinta [R-NH1],519,4
412278,Rep. Brett Guthrie [R-KY2],519,3
400163,Rep. Luis Gutiérrez [D-IL4],519,89
412498,Rep. Janice Hahn [D-CA44],519,5
412454,Rep. Richard Hanna [R-NY22],519,20
412645,Rep. Cresent Hardy [R-NV4],519,2
412280,Rep. Gregg Harper [R-MS3],519,2
412434,Rep. Andy Harris [R-MD1],519,7
412444,Rep. Vicky Hartzler [R-MO4],519,4
400170,Rep. Alcee Hastings [D-FL20],519,29
300052,Sen. Orrin Hatch [R-UT],271,1
412584,Rep. Denny Heck [D-WA10],519,5
412446,Rep. Joseph Heck [R-NV3],519,20
412281,Sen. Martin Heinrich [D-NM],271,2
412554,Sen. Heidi Heitkamp [D-ND],271,0
412218,Sen. Dean Heller [R-NV],271,4
400175,Rep. Jeb Hensarling [R-TX5],519,0
412486,Rep. Jaime Herrera Beutler [R-WA3],519,37
412623,Rep. Jody Hice [R-GA10],519,4
400641,Rep. Brian Higgins [D-NY26],514,12
412609,Rep. French Hill [R-AR2],519,1
412282,Rep. James Himes [D-CT4],519,4
